date,sales,promo,is_holiday,day_of_week,is_weekend,month,day_of_year,week_of_year,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,sales_rolling_mean7,sales_rolling_std7,sales_rolling_mean30,sales_rolling_std30
2023-01-31,246.7,0,0,1,0,1,31,5,245.2,217.7,252.0,380.2,255.4857142857143,28.632291127992072,261.9216666666667,38.3458303342487
2023-02-01,245.6,0,0,2,0,2,32,5,246.7,273.2,251.2,236.7,259.62857142857143,23.972672934386065,257.4716666666667,31.233016580417647
2023-02-02,266.1,0,0,3,0,2,33,5,245.6,237.4,317.7,232.4,255.68571428571428,23.635878699654054,257.7683333333333,31.070760407477167
2023-02-03,250.2,0,0,4,0,2,34,5,266.1,235.8,236.4,235.2,259.7857142857143,22.391771447820453,258.89166666666665,30.729285378691408
2023-02-04,279.5,0,0,5,1,2,35,5,250.2,285.3,285.3,345.8,261.84285714285716,20.393206151629418,259.39166666666665,30.45127844927701
2023-02-05,274.5,0,0,6,1,2,36,5,279.5,293.8,260.8,223.9,261.0142857142857,19.373644345814082,257.1816666666667,26.052038385181852
2023-02-06,251.1,0,0,0,0,2,37,6,274.5,245.2,236.3,273.5,258.25714285714287,14.752271818588556,258.86833333333334,25.45412534593237
2023-02-07,222.1,0,0,1,0,2,38,6,251.1,246.7,217.7,283.9,259.09999999999997,14.03293744493047,258.12166666666667,25.338398295095914
2023-02-08,231.6,0,0,2,0,2,39,6,222.1,245.6,273.2,240.5,255.58571428571426,19.62281228327785,256.06166666666667,25.680214050473978
2023-02-09,223.4,0,0,3,0,2,40,6,231.6,266.1,237.4,255.3,253.58571428571426,21.43956067424797,255.76500000000001,25.916507686986982
2023-02-10,226.3,0,0,4,0,2,41,6,223.4,250.2,235.8,221.1,247.4857142857143,23.280995724082764,254.70166666666668,26.582112482325194
2023-02-11,258.75,0,0,5,1,2,42,6,226.3,279.5,285.3,225.05,244.07142857142858,24.535329240757683,254.875,26.37157152091545
2023-02-12,291.2,0,0,6,1,2,43,6,258.75,274.5,293.8,229.0,241.10714285714286,20.45589622764519,255.99833333333333,25.768172306607013
2023-02-13,258.2,0,0,0,0,2,44,7,291.2,251.1,245.2,288.6,243.4928571428571,25.380544198450938,258.07166666666666,26.022038681210905
2023-02-14,242.7,0,0,1,0,2,45,7,258.2,222.1,246.7,256.6,244.50714285714284,25.872321577499026,257.05833333333334,25.376122646588716
2023-02-15,227.0,0,0,2,0,2,46,7,242.7,231.6,245.6,301.8,247.45,24.00286441239874,256.595,25.511317130327434
2023-02-16,228.5,0,0,3,0,2,47,7,227.0,223.4,266.1,252.0,246.79285714285714,24.565497969228883,254.10166666666663,24.579120952174225
2023-02-17,232.15,1,0,4,0,2,48,7,228.5,226.3,250.2,251.2,247.52142857142857,23.820401919762933,253.3183333333333,25.01894621162592
2023-02-18,235.8,0,0,5,1,2,49,7,232.15,258.75,279.5,317.7,248.35714285714286,23.04167290966931,252.68333333333334,25.314570335369492
2023-02-19,230.35,0,0,6,1,2,50,7,235.8,291.2,274.5,236.4,245.07857142857142,22.948998836965544,249.95333333333335,22.297587364978586
2023-02-20,224.9,0,0,0,0,2,51,8,230.35,258.2,251.1,285.3,236.38571428571427,10.959954162225966,249.75166666666664,22.451224846908442
2023-02-21,227.8,0,0,1,0,2,52,8,224.9,242.7,222.1,260.8,231.62857142857143,6.032816999742373,247.73833333333334,21.85373274883433
2023-02-22,255.1,0,0,2,0,2,53,8,227.8,227.0,231.6,236.3,229.5,3.6224991373359896,246.63833333333335,22.003615233259655
2023-02-23,244.6,0,0,3,0,2,54,8,255.1,228.5,223.4,217.7,233.5142857142857,10.124586999219328,247.265,21.966707371807537
2023-02-24,240.5,0,0,4,0,2,55,8,244.6,232.15,226.3,273.2,235.81428571428572,10.612599205885457,248.1616666666667,21.25578494617791
2023-02-25,250.3,0,0,5,1,2,56,8,240.5,235.8,258.75,237.4,237.00714285714284,10.601353237968683,247.0716666666667,20.760193521676868
2023-02-26,273.8,0,0,6,1,2,57,8,250.3,230.35,291.2,235.8,239.07857142857142,11.68716736221311,247.50166666666667,20.68642518130216
2023-02-27,219.6,0,0,0,0,2,58,9,273.8,224.9,258.2,285.3,245.28571428571428,16.729358283312195,248.76833333333332,21.104385405250156
2023-02-28,218.2,0,0,1,0,2,59,9,219.6,227.8,242.7,293.8,244.52857142857144,17.885721892589228,246.57833333333335,20.58523358997964
2023-03-01,211.6,0,0,2,0,3,60,9,218.2,255.1,227.0,245.2,243.15714285714287,19.66204949836585,244.05833333333334,19.18488576859469
2023-03-02,290.3,1,0,3,0,3,61,9,211.6,244.6,228.5,246.7,236.94285714285712,21.99423084529644,242.93833333333336,20.076013665881188
2023-03-03,261.6,0,0,4,0,3,62,9,290.3,240.5,232.15,245.6,243.47142857142856,29.979087949530964,244.39166666666668,21.856866211209617
2023-03-04,238.5,0,0,5,1,3,63,9,261.6,250.3,235.8,266.1,246.4857142857143,30.683026174712516,244.925,22.08142357823388
2023-03-05,258.5,0,0,6,1,3,64,9,238.5,273.8,230.35,250.2,244.8,30.762585500355218,244.005,21.74110737750044
2023-03-06,221.4,0,0,0,0,3,65,10,258.5,219.6,224.9,279.5,242.61428571428573,28.842296982697025,244.28166666666667,21.875058554929932
2023-03-07,243.7,0,0,1,0,3,66,10,221.4,218.2,227.8,274.5,242.87142857142857,28.610004910037667,242.345,21.21137199061255
2023-03-08,262.6,1,0,2,0,3,67,10,243.7,211.6,255.1,251.1,246.5142857142857,26.489962159997383,241.31833333333333,20.328354086965884
2023-03-09,243.7,1,0,3,0,3,68,10,262.6,290.3,244.6,222.1,253.79999999999998,21.903120021281527,241.70166666666665,20.62542573576638
2023-03-10,224.8,0,0,4,0,3,69,10,243.7,261.6,240.5,231.6,247.14285714285714,14.93328018698019,242.42166666666668,20.29188169302401
2023-03-11,243.4,0,0,5,1,3,70,10,224.8,238.5,250.3,223.4,241.88571428571427,15.463659395652787,242.195,20.454260790426122
2023-03-12,259.4,0,0,6,1,3,71,10,243.4,258.5,273.8,226.3,242.58571428571426,15.395608526614353,242.86166666666668,20.144130159554226
